Data,Canal,Solicitante,Plataforma,Tipo de problema,Problema,Solução
18/03/2025,Presencial,Aluno,(Geral),Acesso,Não se lembrava das credenciais (geral).,Credenciais fornecidas em papel.
18/03/2025,Presencial,Aluno,(Geral),Acesso,Não tinha acesso às plataformas (geral).,Materiais de treinamento enviados.
18/03/2025,Presencial,Aluno,Redigir,Interface,Não consegue visualizar atividades na plataforma Redigir.,"Suporte contatado, solução técnica administrada."
18/03/2025,Presencial,Colaborador,E-mail institucional,Acesso,Necessária troca de senha do e-mail institucional.,Senha redefinida.
18/03/2025,Presencial,Aluno,(Geral),Interface,Credenciais impressas incorretamente (geral).,Credenciais impressas corretamente.
20/03/2025,Presencial,Aluno,Edebê,Acesso,Não consegue visualizar materiais didáticos na plataforma Edebê.,Suporte contatado.
20/03/2025,Presencial,Aluno,Edebê,Acesso,Erro de acesso na plataforma Edebê.,Novo acesso gerado.
20/03/2025,Presencial,Aluno,Edebê,Acesso,Erro de acesso na plataforma Edebê.,Novo acesso gerado.
24/03/2025,E-mail ou Whatsapp,Aluno,MS Teams,Interface,Não consegue visualizar sua turma no MS Teams.,Ausência identificada. Aluna adicionada na turma.
24/03/2025,Presencial,Aluno,Edebê,Autenticação,Erro no certificado SSL ao acessar o site da plataforma Edebê.,Software do tablet atualizado.
24/03/2025,Presencial,Responsável,Edebê,Acesso,Não consegue acessar a plataforma Edebê.,Nova carta de acesso gerada.
24/03/2025,Presencial,Aluno,MS Teams,Interface,Não consegue visualizar sua turma no MS Teams.,Ausência identificada. Aluna adicionada na turma.
24/03/2025,Presencial,Colaborador,Edebê,Interface,Professores se queixaram de suposta falha geral na plataforma Edebê.,Investigação conduzida. Nada encontrado.
24/03/2025,Presencial,Colaborador,MS Teams,Autenticação,Professora não soube seguir a verificação de segurança do MS Teams.,Passo a passo ministrado.
25/03/2025,Presencial,Colaborador,MS Teams,Acesso,Professora não lembrava a senha do MS Teams.,Senha redefinida.
25/03/2025,Presencial,Aluno,Árvore,Acesso,Perdeu seu código da plataforma Árvore.,Código providenciado.
25/03/2025,Presencial,Aluno,MS Teams,Acesso,Havia sido erroneamente informada de que o MS Teams estava inoperante.,"Informação desmentida, acesso providenciado."
25/03/2025,Presencial,Aluno,MS Teams,Acesso,Estava inserindo a senha incorretamente no MS Teams.,Senha inserida corretamente.
25/03/2025,Presencial,Aluno,Edebê,Interface,Não consegue visualizar materiais didáticos na plataforma Edebê.,Suporte contatado.
25/03/2025,Presencial,Aluno,MS Teams,Autenticação,Bloqueada de seu acesso do MS Teams devido a uma autenticação antiga.,CI contatada.
