Data,Problema identificado,Ação Implementada
19/02/2025,Ausência de Coordenador de Tecnologia Educacional.,Primeiro dia no cargo de Coordenador de Tecnologia Educacional.
14/03/2025,"Desde o primeiro dia no cargo, +25 requisições técnicas foram abertas, em grande maioria sobre acesso às plataformas.","Treinamento de acesso às plataformas conduzido em duas turmas do 6º ano do Ensino Fundamental, de totalizando 39 alunos."
14/03/2025,"Desde o primeiro dia no cargo, +25 requisições técnicas foram abertas, em grande maioria sobre acesso às plataformas.",Criação de materiais de treinamento sobre acesso às plataformas para reduzir número de chamados técnicos.
17/03/2025,"Desde o primeiro dia no cargo, +25 requisições técnicas foram abertas, em grande maioria sobre acesso às plataformas.","Conclusão dos materiais de treinamento sobre acesso às plataformas educacionais e disponibilização de cópias digitais para alunos, responsáveis e colaboradores."
20/03/2025,"Desde o primeiro dia no cargo, +25 requisições técnicas foram abertas, em grande maioria sobre acesso às plataformas.",Cópias físicas dos materiais de treinamento distribuídas em todas as salas para consulta pelos professores visando reduzir chamados técnicos.
01/04/2025,Professores necessitavam de treinamento na plataforma TOTVS RH.,"Materiais de treinamento criados, conforme solicitação pela liderança institucional."
07/04/2025,Professores estão confundindo as turmas de 2024 e 2025 na plataforma Edebê. Ambas permanecem ativadas., Desativação das turmas de 2024 solicitada.
10/04/2025,"Há 1 mês, os erros gerados pela plataforma Edebê em relação à acesso tem se prolongado, gastando tempo e recursos. Possível diagnóstico: as diversas possibilidades de login (e-mail, matrícula e nome de usuário) parecem estar gerando conflitos entre si.",Novo protocolo implementado para reduzir chamados técnicos da plataforma: login realizado exclusivamente com número de matrícula e senha padrão.
14/04/2025,Alunos estão confundindo relações entre plataformas a acessos devido à quantidade de credenciais e recursos que utilizam.,Guia universal criado e distribuído física e digitalmente para alunos e responsáveis. Treinamento ministrado de sala em sala. 
14/04/2025,"Alunos estavam apresentando condutas inadequadas no laboratório de informática e alterando elementos da interface dos computadores da escola, gerando necessidade de manunteção.","Documento com regas de utilização do laboratório de informática criado e disponibilizado física e digitalemente para alunos. TI acionado para realizar bloqueio da área de trabalho, sites de conteúdo inapropriado, e realização de downloads."
07/05/2025,O envio de relatório mensais do registro de chamados técnicos era custoso e repetitivo.,Criação de um dashboard interativo e dinâmico com autolizações automáticas.
13/05/2025,"Muitos dos chamados técnicos consistem em problemas de fácil resolução: limpeza de cache, uso de versão web, etc.","Criação e emissão de um guia rápido de soluções fáceis para problemas corriqueiros, utilizável pelos próprios alunos."
